                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.78289,                0.44721,                 1.0257,                0.95631,                0.98242,                0.99181,                0.79088,                0.84882,                0.37947,                 1.0539,             0.00053773,             0.00053773,             0.00053773
                     65,                0.77362,                0.43148,                 1.0256,                0.94995,                0.97931,                0.98755,                0.76563,                0.86924,                 0.3672,                  1.066,             0.00052359,             0.00052359,             0.00052359
                     66,                0.80012,                0.46363,                 1.0272,                0.96269,                0.96419,                0.97964,                0.76444,                 0.8903,                0.37046,                 1.0647,             0.00050944,             0.00050944,             0.00050944
                     67,                0.76576,                0.43957,                 1.0212,                0.95755,                 0.9833,                0.98666,                0.78202,                0.85883,                 0.3578,                 1.0621,             0.00049529,             0.00049529,             0.00049529
                     68,                0.76911,                 0.4435,                 1.0268,                0.96595,                0.97521,                 0.9909,                0.77831,                0.87065,                0.35725,                 1.0641,             0.00048114,             0.00048114,             0.00048114
                     69,                0.76116,                0.43743,                 1.0198,                0.97309,                0.96151,                  0.987,                0.76955,                0.87034,                0.36926,                 1.0618,               0.000467,               0.000467,               0.000467
                     70,                0.74988,                0.42297,                 1.0225,                0.96354,                0.96838,                0.98524,                0.77703,                0.87112,                 0.3603,                 1.0646,             0.00045285,             0.00045285,             0.00045285
                     71,                0.74501,                0.42844,                 1.0126,                0.98051,                0.97111,                0.99346,                0.77756,                0.88555,                0.36054,                 1.0651,              0.0004387,              0.0004387,              0.0004387
                     72,                0.75491,                0.42982,                 1.0087,                0.97726,                0.97179,                0.99299,                0.77015,                0.86706,                0.37863,                 1.0524,             0.00042456,             0.00042456,             0.00042456
                     73,                0.73334,                0.42319,                 1.0098,                0.97275,                0.98071,                0.99042,                 0.7707,                0.89257,                 0.3583,                 1.0731,             0.00041041,             0.00041041,             0.00041041
                     74,                0.74986,                0.41963,                 1.0066,                0.95857,                0.98917,                0.99296,                0.78553,                0.88141,                0.35205,                 1.0672,             0.00039626,             0.00039626,             0.00039626
                     75,                0.73138,                0.41184,                0.99705,                0.97879,                0.95505,                0.99232,                0.76852,                0.88009,                0.36242,                 1.0701,             0.00038211,             0.00038211,             0.00038211
                     76,                0.73227,                0.41844,                 1.0022,                0.97972,                0.97787,                0.99206,                0.77871,                0.87103,                0.34934,                  1.068,             0.00036797,             0.00036797,             0.00036797
                     77,                0.72793,                0.41082,                0.99692,                0.97684,                0.97825,                0.99134,                0.77665,                0.87224,                0.35253,                 1.0606,             0.00035382,             0.00035382,             0.00035382
                     78,                0.71669,                0.40098,                0.99646,                0.97982,                0.97584,                0.99337,                0.78133,                0.86686,                0.35523,                  1.044,             0.00033967,             0.00033967,             0.00033967
                     79,                0.72274,                0.40484,                0.99672,                0.96988,                0.97295,                0.99348,                0.77991,                0.86042,                0.35814,                 1.0484,             0.00032553,             0.00032553,             0.00032553
                     80,                0.69856,                0.40051,                0.98803,                 0.9806,                0.95937,                0.99154,                0.78696,                0.86553,                0.35706,                 1.0628,             0.00031138,             0.00031138,             0.00031138
                     81,                0.69815,                0.39716,                0.99991,                0.98763,                0.98327,                0.99422,                0.78235,                0.86927,                0.35059,                 1.0622,             0.00029723,             0.00029723,             0.00029723
                     82,                0.71102,                0.39862,                0.99362,                0.98068,                0.97691,                0.98964,                 0.7914,                0.87098,                0.33483,                 1.0637,             0.00028308,             0.00028308,             0.00028308
                     83,                0.70334,                0.39568,                0.99163,                0.96947,                0.96774,                0.99111,                0.78851,                0.87722,                0.35167,                 1.0776,             0.00026894,             0.00026894,             0.00026894
                     84,                0.70267,                0.40317,                0.99909,                0.97022,                 0.9884,                0.99101,                0.77699,                0.87961,                0.34229,                  1.085,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.6896,                0.39256,                0.98407,                0.98177,                0.97681,                 0.9903,                0.77745,                0.88533,                0.34314,                 1.0852,             0.00024064,             0.00024064,             0.00024064
                     86,                0.70731,                0.39993,                0.99388,                 0.9808,                0.96703,                0.99165,                0.78528,                0.86632,                0.35305,                 1.0513,              0.0002265,              0.0002265,              0.0002265
                     87,                0.68216,                0.38149,                0.98515,                0.97412,                0.96892,                 0.9874,                0.77675,                0.87087,                0.34298,                 1.0575,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.6883,                 0.3896,                0.98426,                0.98146,                0.97562,                0.99279,                0.77894,                0.87565,                0.34929,                 1.0671,              0.0001982,              0.0001982,              0.0001982
                     89,                0.68479,                0.38056,                 0.9841,                0.95323,                0.97509,                0.99142,                0.77283,                0.86924,                0.35864,                 1.0661,             0.00018406,             0.00018406,             0.00018406
                     90,                0.67474,                0.37331,                0.98234,                0.96541,                0.99014,                0.99125,                0.78374,                0.86783,                0.33065,                  1.062,             0.00016991,             0.00016991,             0.00016991
                     91,                0.59627,                0.28699,                 0.9201,                0.98242,                0.96297,                0.99032,                0.78026,                0.87447,                0.34252,                 1.0819,             0.00015576,             0.00015576,             0.00015576
                     92,                0.58599,                0.27854,                0.92529,                0.98795,                0.97496,                0.99169,                0.78295,                  0.876,                0.33687,                 1.0727,             0.00014161,             0.00014161,             0.00014161
                     93,                0.58363,                0.27497,                0.92805,                0.98433,                0.96632,                0.99123,                0.78629,                0.86692,                0.32996,                 1.0772,             0.00012747,             0.00012747,             0.00012747
                     94,                0.56917,                0.27433,                0.90753,                0.98234,                0.98515,                0.99193,                0.79144,                 0.8634,                0.32717,                  1.076,             0.00011332,             0.00011332,             0.00011332
                     95,                0.56682,                0.27108,                0.91083,                0.98312,                 0.9814,                0.99223,                0.78656,                0.87162,                0.32899,                  1.083,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 0.5625,                0.26401,                 0.9125,                0.97254,                0.98567,                0.98682,                0.78015,                0.89111,                0.32415,                 1.0979,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.56062,                 0.2629,                0.90506,                0.97613,                0.99143,                0.99204,                0.79153,                0.87722,                0.32412,                   1.08,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.5551,                0.26513,                0.90243,                0.98223,                0.98699,                0.99206,                 0.7897,                0.87828,                0.31906,                 1.0868,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.5485,                0.25881,                0.89287,                0.97401,                0.98798,                 0.9916,                0.78601,                0.87898,                0.32236,                 1.0823,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.55081,                0.26202,                0.90842,                0.97656,                0.98705,                0.99209,                0.78622,                0.87916,                0.32318,                 1.0809,             2.8437e-05,             2.8437e-05,             2.8437e-05
